Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
63,Avery Bradley,31,LAL,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,2,12.300000000000002,0.5203252032520325,0.17886178861788615,0.06504065040650406,0.07317073170731705,0.008130081300813007,0.04878048780487804,0.10569105691056908
64,Tony Bradley,24,CHI,55,7,10.0,1.3,2.2,0.585,0.0,0.0,0.0,1.3,2.2,0.585,0.585,0.3,0.5,0.655,1.2,2.2,3.4,0.5,0.2,0.6,0.6,1.1,3.0,0,8.3,0.36144578313253006,0.4096385542168674,0.06024096385542168,0.024096385542168672,0.07228915662650602,0.07228915662650602,0.0
65,Ignas Brazdeikis,23,ORL,42,1,12.8,1.9,4.5,0.431,0.6,2.1,0.31,1.3,2.4,0.535,0.503,0.5,0.8,0.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0,1,8.9,0.5617977528089887,0.19101123595505617,0.10112359550561797,0.02247191011235955,0.011235955056179775,0.0449438202247191,0.06741573033707865
66,Mikal Bridges,25,PHO,82,82,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2,1,24.499999999999996,0.5795918367346939,0.17142857142857146,0.09387755102040816,0.0489795918367347,0.016326530612244903,0.032653061224489806,0.05714285714285715
67,Miles Bridges,23,CHO,80,80,35.5,7.5,15.2,0.491,1.9,5.8,0.331,5.5,9.4,0.59,0.554,3.3,4.2,0.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2,1,36.49999999999999,0.5534246575342466,0.19178082191780826,0.1041095890410959,0.02465753424657535,0.02191780821917809,0.05205479452054795,0.05205479452054795
68,Oshae Brissett,23,IND,67,25,23.3,3.1,7.6,0.411,1.2,3.5,0.35,1.9,4.0,0.465,0.493,1.7,2.4,0.695,1.6,3.7,5.3,1.1,0.7,0.4,0.8,1.7,9.1,1,18.599999999999998,0.489247311827957,0.2849462365591398,0.05913978494623657,0.03763440860215054,0.021505376344086027,0.04301075268817205,0.06451612903225806
69,Malcolm Brogdon,29,IND,36,36,33.5,6.8,15.1,0.448,1.6,5.2,0.312,5.1,9.9,0.518,0.501,4.0,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1,2,35.0,0.5457142857142857,0.1457142857142857,0.1685714285714286,0.022857142857142857,0.011428571428571429,0.060000000000000005,0.045714285714285714
70,Armoni Brooks,23,TOT,54,11,15.6,1.8,5.4,0.339,1.4,4.6,0.297,0.4,0.7,0.6,0.467,0.3,0.4,0.857,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.4,5.3,2,10.899999999999999,0.48623853211009177,0.1743119266055046,0.10091743119266057,0.045871559633027525,0.018348623853211014,0.045871559633027525,0.12844036697247707
70,Armoni Brooks,23,HOU,41,8,16.8,2.1,6.1,0.347,1.6,5.2,0.3,0.6,0.9,0.605,0.474,0.4,0.5,0.842,0.3,1.7,2.0,1.2,0.5,0.2,0.6,1.5,6.2,2,12.299999999999997,0.5040650406504066,0.1626016260162602,0.09756097560975611,0.04065040650406505,0.01626016260162602,0.04878048780487806,0.13008130081300817
70,Armoni Brooks,23,TOR,13,3,11.8,0.8,2.9,0.289,0.8,2.8,0.278,0.1,0.2,0.5,0.421,0.2,0.2,1.0,0.6,1.1,1.7,1.0,0.5,0.2,0.3,1.1,2.6,2,7.1,0.36619718309859156,0.23943661971830987,0.14084507042253522,0.07042253521126761,0.028169014084507046,0.04225352112676056,0.11267605633802819
