Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
151,Chris Duarte,24,IND,55,39,28.0,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2.0,0.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1,2,23.8,0.5504201680672268,0.17226890756302518,0.08823529411764706,0.04201680672268907,0.008403361344537815,0.06722689075630252,0.07142857142857142
152,David Duke Jr.,22,BRK,22,7,15.5,1.8,4.9,0.361,0.4,1.7,0.243,1.4,3.2,0.423,0.403,0.8,1.0,0.81,1.4,1.7,3.0,0.8,0.6,0.3,0.4,1.6,4.7,2,10.200000000000001,0.46078431372549017,0.2941176470588235,0.0784313725490196,0.0588235294117647,0.02941176470588235,0.0392156862745098,0.0392156862745098
153,Kris Dunn,27,POR,14,3,24.0,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6,2,20.900000000000002,0.3636363636363636,0.16746411483253587,0.26794258373205737,0.07655502392344497,0.009569377990430622,0.11004784688995213,0.004784688995215311
154,Kevin Durant,33,BRK,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,1,51.099999999999994,0.5851272015655578,0.1448140900195695,0.12524461839530335,0.017612524461839533,0.017612524461839533,0.06849315068493152,0.04109589041095891
156,Anthony Edwards,20,MIN,72,72,34.3,7.6,17.3,0.441,3.0,8.4,0.357,4.6,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3,2,37.6,0.5664893617021276,0.1276595744680851,0.10106382978723404,0.03989361702127659,0.015957446808510637,0.06914893617021277,0.07978723404255318
157,Carsen Edwards,23,DET,4,0,19.8,2.3,7.5,0.3,1.0,4.0,0.25,1.3,3.5,0.357,0.367,0.3,0.3,1.0,0.5,1.0,1.5,3.5,0.5,0.0,1.3,1.0,5.8,2,13.600000000000001,0.42647058823529405,0.1102941176470588,0.25735294117647056,0.036764705882352935,0.0,0.09558823529411764,0.07352941176470587
158,Kessler Edwards,21,BRK,48,23,20.6,2.3,5.6,0.412,1.0,2.8,0.353,1.3,2.7,0.473,0.502,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9,1,13.1,0.450381679389313,0.2748091603053435,0.04580152671755725,0.04580152671755725,0.03816793893129771,0.06870229007633588,0.07633587786259542
159,Rob Edwards,25,OKC,2,0,5.5,0.5,2.0,0.25,0.5,2.0,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,1.5,2,4.0,0.375,0.375,0.0,0.0,0.0,0.125,0.125
160,CJ Elleby,21,POR,58,28,20.2,2.1,5.3,0.393,0.6,2.2,0.294,1.4,3.1,0.462,0.453,1.0,1.4,0.714,1.1,2.8,3.9,1.5,0.6,0.3,1.0,2.0,5.8,1,13.7,0.4233576642335766,0.2846715328467153,0.10948905109489052,0.043795620437956206,0.021897810218978103,0.07299270072992702,0.043795620437956206
161,Wayne Ellington,34,LAL,43,9,18.8,2.3,5.5,0.414,1.9,4.9,0.389,0.4,0.6,0.615,0.586,0.2,0.3,0.818,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1.0,6.7,2,12.1,0.5537190082644629,0.1487603305785124,0.05785123966942148,0.04132231404958678,0.008264462809917356,0.03305785123966942,0.15702479338842976
162,Joel Embiid,27,PHI,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,0,53.6,0.5708955223880597,0.21828358208955223,0.07835820895522388,0.020522388059701493,0.027985074626865673,0.05783582089552239,0.026119402985074626
163,James Ennis III,31,TOT,7,0,8.0,1.6,3.4,0.458,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1,1,7.5,0.5466666666666666,0.22666666666666666,0.05333333333333334,0.04,0.04,0.04,0.05333333333333334
163,James Ennis III,31,BRK,2,0,7.0,1.0,3.5,0.286,0.5,1.0,0.5,0.5,2.5,0.2,0.357,0.0,0.0,0.0,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5,1,6.5,0.38461538461538464,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
163,James Ennis III,31,LAC,2,0,14.0,3.5,5.5,0.636,1.0,2.0,0.5,2.5,3.5,0.714,0.727,2.0,2.0,1.0,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0,1,15.0,0.6666666666666666,0.16666666666666666,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667
163,James Ennis III,31,DEN,3,0,4.7,0.7,2.0,0.333,0.0,0.7,0.0,0.7,1.3,0.5,0.333,0.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3,1,3.3,0.393939393939394,0.21212121212121213,0.30303030303030304,0.0,0.0,0.09090909090909091,0.0
164,Drew Eubanks,24,TOT,71,31,17.5,3.1,5.2,0.596,0.1,0.3,0.217,3.0,4.9,0.621,0.602,1.4,1.8,0.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7,0,16.500000000000004,0.46666666666666656,0.3272727272727272,0.07272727272727271,0.02424242424242424,0.036363636363636355,0.06666666666666665,0.00606060606060606
164,Drew Eubanks,24,SAS,49,9,12.1,1.7,3.2,0.528,0.0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7,0,11.5,0.40869565217391307,0.34782608695652173,0.08695652173913043,0.02608695652173913,0.05217391304347826,0.0782608695652174,0.0
164,Drew Eubanks,24,POR,22,22,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6.0,9.0,0.675,0.656,1.8,2.3,0.784,3.0,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,0,27.700000000000003,0.5234657039711191,0.30685920577617326,0.057761732851985555,0.028880866425992777,0.018050541516245487,0.057761732851985555,0.007220216606498194
165,Tacko Fall,26,CLE,11,1,5.4,0.5,1.1,0.417,0.0,0.0,0.0,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1,0,4.2,0.2619047619047619,0.5,0.047619047619047616,0.0,0.11904761904761904,0.07142857142857142,0.0
166,Derrick Favors,30,OKC,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,0,11.6,0.45689655172413796,0.4051724137931035,0.05172413793103448,0.034482758620689655,0.02586206896551724,0.017241379310344827,0.008620689655172414
167,Bruno Fernando,23,TOT,30,0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9,0,5.800000000000001,0.49999999999999994,0.31034482758620685,0.034482758620689655,0.0,0.06896551724137931,0.08620689655172413,0.0
167,Bruno Fernando,23,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,0,2.6,0.3846153846153846,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.11538461538461538,0.038461538461538464
167,Bruno Fernando,23,HOU,10,0,9.4,2.9,4.1,0.707,0.0,0.1,0.0,2.9,4.0,0.725,0.707,1.1,1.9,0.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9,0,13.000000000000002,0.5307692307692308,0.30769230769230765,0.02307692307692307,0.007692307692307692,0.061538461538461535,0.06923076923076922,0.0
168,Dorian Finney-Smith,28,DAL,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,1,22.4,0.4910714285714286,0.2098214285714286,0.08482142857142858,0.04910714285714286,0.022321428571428572,0.044642857142857144,0.09821428571428573
169,Malik Fitts,24,TOT,15,0,4.2,0.5,1.3,0.421,0.3,0.7,0.5,0.2,0.6,0.333,0.553,0.0,0.0,0.0,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4,1,3.1999999999999997,0.4375,0.34375000000000006,0.09375,0.0,0.0,0.03125000000000001,0.09375
169,Malik Fitts,24,UTA,7,0,5.0,0.3,1.3,0.222,0.3,0.6,0.5,0.0,0.7,0.0,0.333,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9,1,2.8999999999999995,0.31034482758620696,0.48275862068965525,0.0,0.0,0.0,0.10344827586206898,0.10344827586206898
169,Malik Fitts,24,BOS,8,0,3.5,0.8,1.3,0.6,0.4,0.8,0.5,0.4,0.5,0.75,0.75,0.0,0.0,0.0,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,1,3.8,0.5,0.2368421052631579,0.15789473684210525,0.0,0.0,0.0,0.10526315789473685
170,Malachi Flynn,23,TOR,44,5,12.2,1.6,4.2,0.393,0.7,2.0,0.333,1.0,2.1,0.452,0.475,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,2,8.899999999999999,0.4831460674157304,0.15730337078651688,0.17977528089887646,0.05617977528089889,0.011235955056179778,0.03370786516853933,0.07865168539325844
171,Bryn Forbes,28,TOT,75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1.0,0.3,0.1,0.7,1.3,8.8,2,13.7,0.6423357664233578,0.08759124087591241,0.07299270072992702,0.021897810218978103,0.007299270072992701,0.051094890510948905,0.11678832116788322
171,Bryn Forbes,28,SAS,40,1,16.9,3.2,7.4,0.432,1.6,3.8,0.417,1.6,3.6,0.448,0.539,1.1,1.2,0.898,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1,2,14.6,0.6232876712328766,0.10958904109589042,0.0684931506849315,0.027397260273972605,0.006849315068493151,0.05479452054794521,0.10958904109589042
171,Bryn Forbes,28,DEN,35,1,17.4,2.9,6.9,0.424,1.7,4.1,0.41,1.3,2.8,0.444,0.545,1.0,1.1,0.921,0.2,0.7,0.9,1.0,0.2,0.1,0.7,1.5,8.6,2,13.199999999999998,0.6515151515151516,0.06818181818181819,0.07575757575757577,0.015151515151515155,0.007575757575757578,0.05303030303030304,0.1287878787878788
172,Aleem Ford,24,ORL,5,0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,1,7.6000000000000005,0.36842105263157887,0.3947368421052631,0.05263157894736842,0.02631578947368421,0.0,0.10526315789473684,0.05263157894736842
173,Trent Forrest,23,UTA,60,6,12.8,1.3,2.6,0.49,0.1,0.5,0.185,1.2,2.1,0.555,0.506,0.6,0.8,0.792,0.4,1.3,1.7,1.8,0.5,0.1,0.8,0.7,3.3,2,8.299999999999999,0.39759036144578314,0.20481927710843376,0.2168674698795181,0.06024096385542169,0.01204819277108434,0.09638554216867472,0.01204819277108434
174,Evan Fournier,29,NYK,80,80,29.5,5.0,12.1,0.417,3.0,7.7,0.389,2.0,4.3,0.465,0.541,1.0,1.4,0.708,0.4,2.2,2.6,2.1,1.0,0.3,1.3,2.3,14.1,2,24.400000000000002,0.5778688524590163,0.10655737704918032,0.0860655737704918,0.040983606557377046,0.012295081967213113,0.05327868852459016,0.12295081967213113
175,De'Aaron Fox,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,2,38.39999999999999,0.6041666666666667,0.10156250000000001,0.14583333333333337,0.03125000000000001,0.01041666666666667,0.07291666666666669,0.03385416666666668
176,Melvin Frazier,25,OKC,3,0,40.0,4.3,16.0,0.271,0.3,7.0,0.048,4.0,9.0,0.444,0.281,1.7,2.3,0.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,2.7,10.7,2,16.900000000000002,0.6331360946745561,0.2544378698224852,0.017751479289940825,0.017751479289940825,0.0,0.059171597633136085,0.017751479289940825
177,Tim Frazier,31,TOT,12,3,17.3,1.2,3.8,0.311,0.5,1.4,0.353,0.7,2.3,0.286,0.378,0.4,0.8,0.556,0.4,1.2,1.6,2.8,0.3,0.1,1.3,2.3,3.3,2,9.9,0.3333333333333333,0.16161616161616163,0.2828282828282828,0.0303030303030303,0.010101010101010102,0.13131313131313133,0.050505050505050504
177,Tim Frazier,31,ORL,10,3,20.0,1.3,4.3,0.302,0.6,1.7,0.353,0.7,2.6,0.269,0.372,0.5,0.9,0.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7,2,11.2,0.3303571428571429,0.16964285714285715,0.29464285714285715,0.026785714285714288,0.00892857142857143,0.11607142857142859,0.053571428571428575
177,Tim Frazier,31,CLE,2,0,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.5,1.0,2,2.5,0.4,0.0,0.2,0.0,0.0,0.4,0.0
178,Enes Freedom,29,BOS,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,0,9.7,0.3814432989690722,0.4742268041237113,0.02061855670103093,0.010309278350515465,0.04123711340206186,0.061855670103092786,0.010309278350515465
179,Markelle Fultz,23,ORL,18,3,20.0,4.6,9.7,0.474,0.2,0.9,0.235,4.4,8.8,0.5,0.486,1.4,1.7,0.806,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,10.8,2,22.8,0.4736842105263158,0.11842105263157895,0.2412280701754386,0.048245614035087724,0.013157894736842105,0.09649122807017545,0.008771929824561403
180,Wenyen Gabriel,24,TOT,26,5,13.8,2.1,4.2,0.491,0.3,1.1,0.286,1.8,3.2,0.561,0.527,1.0,1.6,0.595,1.5,2.2,3.7,0.5,0.2,0.4,0.6,2.6,5.4,1,11.100000000000001,0.48648648648648646,0.3333333333333333,0.045045045045045036,0.018018018018018018,0.036036036036036036,0.05405405405405404,0.02702702702702702
180,Wenyen Gabriel,24,BRK,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
180,Wenyen Gabriel,24,LAC,6,0,7.7,0.8,2.2,0.385,0.3,0.8,0.4,0.5,1.3,0.375,0.462,0.3,0.7,0.5,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3,1,6.199999999999999,0.3709677419354839,0.3709677419354839,0.048387096774193554,0.03225806451612904,0.048387096774193554,0.08064516129032259,0.048387096774193554
180,Wenyen Gabriel,24,LAL,19,5,16.4,2.6,5.1,0.505,0.3,1.2,0.261,2.3,3.9,0.581,0.536,1.2,2.0,0.605,1.8,2.5,4.3,0.6,0.2,0.5,0.7,3.0,6.7,1,13.299999999999999,0.5037593984962406,0.32330827067669177,0.04511278195488722,0.015037593984962409,0.03759398496240602,0.052631578947368425,0.02255639097744361
181,Daniel Gafford,23,WAS,72,53,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,0,18.699999999999996,0.502673796791444,0.304812834224599,0.04812834224598932,0.021390374331550808,0.07486631016042782,0.04812834224598932,0.0
182,Danilo Gallinari,33,ATL,66,18,25.3,3.9,9.0,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,1,20.799999999999997,0.5625,0.2259615384615385,0.07211538461538462,0.019230769230769235,0.009615384615384618,0.028846153846153848,0.08173076923076925
183,Langston Galloway,30,TOT,7,0,15.3,0.9,3.7,0.231,0.3,2.3,0.125,0.6,1.4,0.4,0.269,0.0,0.0,0.0,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0,2,7.6,0.2631578947368421,0.34210526315789475,0.2236842105263158,0.013157894736842106,0.0,0.11842105263157895,0.039473684210526314
183,Langston Galloway,30,BRK,4,0,14.5,1.3,3.3,0.385,0.5,2.0,0.25,0.8,1.3,0.6,0.462,0.0,0.0,0.0,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0,2,8.1,0.3703703703703704,0.2469135802469136,0.16049382716049385,0.0,0.0,0.16049382716049385,0.0617283950617284
183,Langston Galloway,30,MIL,3,0,16.3,0.3,4.3,0.077,0.0,2.7,0.0,0.3,1.7,0.2,0.077,0.0,0.0,0.0,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7,2,6.8999999999999995,0.10144927536231885,0.4782608695652174,0.3333333333333333,0.043478260869565216,0.0,0.043478260869565216,0.0
184,Darius Garland,22,CLE,68,68,35.7,8.0,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,2,41.2,0.5266990291262136,0.08009708737864077,0.2087378640776699,0.03155339805825243,0.0024271844660194173,0.08737864077669903,0.06310679611650485
185,Marcus Garrett,23,MIA,12,0,10.7,0.4,1.8,0.238,0.1,0.3,0.25,0.3,1.4,0.235,0.262,0.2,0.4,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,2,4.6,0.23913043478260873,0.41304347826086957,0.13043478260869565,0.08695652173913045,0.06521739130434782,0.04347826086956522,0.02173913043478261
186,Usman Garuba,19,HOU,24,2,10.0,0.8,1.8,0.432,0.2,0.8,0.25,0.6,1.0,0.583,0.489,0.2,0.3,0.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,1,7.6000000000000005,0.2631578947368421,0.4605263157894737,0.09210526315789472,0.05263157894736842,0.06578947368421052,0.039473684210526314,0.02631578947368421
187,Luka Garza,23,DET,32,5,12.2,2.1,4.6,0.449,0.5,1.5,0.327,1.6,3.1,0.51,0.503,1.2,1.9,0.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8,0,11.1,0.5225225225225225,0.2792792792792793,0.05405405405405406,0.02702702702702703,0.018018018018018018,0.05405405405405406,0.04504504504504505
188,Rudy Gay,35,UTA,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1,1,16.5,0.4909090909090909,0.26666666666666666,0.06060606060606061,0.030303030303030304,0.01818181818181818,0.05454545454545455,0.0787878787878788
189,Paul George,31,LAC,31,31,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,1,46.50000000000001,0.5225806451612902,0.14838709677419354,0.1225806451612903,0.047311827956989246,0.008602150537634409,0.08817204301075267,0.06236559139784945
190,Taj Gibson,36,NYK,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1.0,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,0,11.400000000000002,0.38596491228070173,0.38596491228070173,0.05263157894736841,0.03508771929824561,0.07017543859649122,0.04385964912280701,0.026315789473684206
191,Josh Giddey,19,OKC,54,54,31.5,5.2,12.4,0.419,1.0,3.9,0.263,4.2,8.5,0.492,0.461,1.0,1.5,0.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,1.6,12.5,2,32.2,0.3881987577639751,0.24223602484472048,0.19875776397515527,0.02795031055900621,0.012422360248447204,0.09937888198757763,0.03105590062111801
192,Shai Gilgeous-Alexander,23,OKC,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,2,41.89999999999999,0.5847255369928402,0.11933174224343678,0.1408114558472554,0.031026252983293562,0.019093078758949885,0.0668257756563246,0.03818615751789977
193,Anthony Gill,29,WAS,44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1.0,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,1,7.699999999999999,0.5324675324675324,0.24675324675324675,0.07792207792207792,0.01298701298701299,0.03896103896103896,0.05194805194805196,0.03896103896103896
194,Freddie Gillespie,24,ORL,9,2,13.2,1.0,2.4,0.409,0.0,0.1,0.0,1.0,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4.0,0.6,0.3,1.0,0.6,2.0,2.3,1,8.799999999999999,0.26136363636363635,0.4545454545454546,0.06818181818181819,0.034090909090909095,0.11363636363636365,0.06818181818181819,0.0
195,Rudy Gobert,29,UTA,66,66,32.1,5.5,7.7,0.713,0.0,0.1,0.0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.7,15.6,0,36.0,0.43333333333333335,0.4083333333333333,0.030555555555555558,0.019444444444444445,0.058333333333333334,0.05,0.0
196,Brandon Goodwin,26,CLE,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0.0,1.0,1.1,4.8,2,11.399999999999999,0.4210526315789474,0.16666666666666669,0.2192982456140351,0.06140350877192983,0.0,0.08771929824561404,0.04385964912280702
197,Jordan Goodwin,23,WAS,2,0,3.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,Aaron Gordon,26,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,1,27.6,0.5434782608695652,0.213768115942029,0.09057971014492754,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216
199,Eric Gordon,33,HOU,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2.0,2.7,0.5,0.3,1.9,1.1,13.4,2,23.0,0.5826086956521739,0.08695652173913043,0.11739130434782609,0.021739130434782608,0.013043478260869565,0.08260869565217391,0.09565217391304348
200,Devonte' Graham,26,NOP,76,63,28.4,3.9,10.7,0.363,2.5,7.4,0.341,1.4,3.3,0.413,0.481,1.6,1.8,0.843,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,11.9,2,23.399999999999995,0.5085470085470086,0.0982905982905983,0.17948717948717954,0.03846153846153847,0.00854700854700855,0.05982905982905984,0.10683760683760686
201,Jerami Grant,27,DET,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3,19.2,1,31.299999999999994,0.6134185303514378,0.13099041533546327,0.07667731629392972,0.028753993610223648,0.031948881789137386,0.057507987220447296,0.060702875399361034
202,Hassani Gravett,25,ORL,8,3,21.4,2.3,4.8,0.474,1.4,3.3,0.423,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3,2,14.6,0.4315068493150685,0.17808219178082194,0.17123287671232876,0.0410958904109589,0.006849315068493151,0.07534246575342467,0.0958904109589041
203,Danny Green,34,PHI,62,28,21.8,2.0,5.2,0.394,1.7,4.4,0.38,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.5,2.0,2.5,1.0,1.0,0.6,0.7,1.7,5.9,1,13.399999999999999,0.4402985074626866,0.1865671641791045,0.0746268656716418,0.0746268656716418,0.04477611940298508,0.05223880597014926,0.12686567164179105
204,Draymond Green,31,GSW,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2.0,0.659,1.0,6.3,7.3,7.0,1.3,1.1,3.0,3.0,7.5,1,27.500000000000004,0.2727272727272727,0.2654545454545454,0.2545454545454545,0.047272727272727265,0.04,0.10909090909090907,0.010909090909090906
205,Jalen Green,19,HOU,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2.0,1.5,17.3,2,28.6,0.6048951048951049,0.11888111888111887,0.09090909090909091,0.024475524475524472,0.010489510489510488,0.06993006993006992,0.0804195804195804
206,JaMychal Green,31,DEN,67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3.0,0.621,0.537,1.2,1.4,0.871,1.2,3.0,4.2,0.9,0.6,0.4,0.9,2.4,6.4,1,13.900000000000002,0.46043165467625896,0.3021582733812949,0.0647482014388489,0.04316546762589927,0.028776978417266185,0.0647482014388489,0.035971223021582725
207,Javonte Green,28,CHI,65,45,23.4,2.7,5.0,0.542,0.6,1.6,0.356,2.2,3.4,0.625,0.597,1.2,1.5,0.833,1.4,2.8,4.2,0.9,1.0,0.5,0.5,2.0,7.2,1,14.9,0.48322147651006714,0.28187919463087246,0.06040268456375839,0.06711409395973154,0.03355704697986577,0.03355704697986577,0.040268456375838924
208,Jeff Green,35,DEN,75,63,24.7,3.7,7.1,0.524,0.7,2.2,0.315,3.0,4.8,0.62,0.574,2.2,2.6,0.833,0.5,2.5,3.1,1.3,0.4,0.4,0.9,2.0,10.3,0,17.1,0.6023391812865497,0.18128654970760233,0.07602339181286549,0.023391812865497075,0.023391812865497075,0.05263157894736842,0.040935672514619874
209,Josh Green,21,DAL,67,3,15.5,1.9,3.8,0.508,0.4,1.2,0.359,1.5,2.7,0.573,0.563,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,2,10.399999999999997,0.4615384615384617,0.23076923076923084,0.11538461538461542,0.06730769230769232,0.01923076923076924,0.06730769230769232,0.03846153846153848
