Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
182,Jaden Springer,19,PHI,5,0,2.6,0.6,1.2,0.5,0.0,0.2,0.0,0.6,1.0,0.6,0.5,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.2,1.2,2,2.4,0.5,0.33333333333333337,0.16666666666666669,0.0,0.0,0.0,0.0
183,Nik Stauskas,28,BOS,13,0,1.8,0.2,0.9,0.25,0.2,0.8,0.3,0.0,0.2,0.0,0.375,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.0,2,1.8,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.11111111111111112
184,Max Strus,25,MIA,18,18,29.1,3.8,10.1,0.374,2.6,7.9,0.331,1.2,2.2,0.525,0.503,0.7,1.0,0.722,0.8,3.2,4.1,2.1,0.8,0.4,1.1,3.1,10.9,1,22.000000000000004,0.49545454545454537,0.18636363636363631,0.09545454545454544,0.03636363636363636,0.01818181818181818,0.049999999999999996,0.11818181818181817
185,Jayson Tatum,23,BOS,24,24,41.0,8.4,19.7,0.426,3.2,8.2,0.393,5.2,11.5,0.449,0.507,5.7,7.1,0.8,1.0,5.7,6.7,6.2,1.2,0.9,4.2,3.0,25.6,1,48.000000000000014,0.5333333333333332,0.1395833333333333,0.12916666666666662,0.02499999999999999,0.018749999999999996,0.08749999999999998,0.06666666666666665
186,Garrett Temple,35,NOP,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187,Daniel Theis,29,BOS,16,5,12.5,1.9,3.2,0.588,0.2,0.9,0.214,1.7,2.3,0.73,0.618,0.4,0.5,0.75,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,0,9.999999999999998,0.43000000000000005,0.33,0.07,0.030000000000000006,0.05000000000000001,0.07,0.020000000000000004
189,Klay Thompson,31,GSW,22,22,36.0,7.2,16.7,0.429,3.5,9.1,0.385,3.7,7.6,0.482,0.534,1.2,1.4,0.867,0.3,3.6,3.9,2.3,1.1,0.7,1.3,2.1,19.0,2,31.8,0.5974842767295597,0.12264150943396226,0.07232704402515723,0.03459119496855346,0.0220125786163522,0.040880503144654086,0.11006289308176101
190,Tristan Thompson,30,CHI,5,0,7.6,0.4,1.0,0.4,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.0,0.0,0.0,0.4,1.2,1.6,0.4,0.2,0.0,1.0,0.8,0.8,1,4.0,0.2,0.4,0.1,0.05,0.0,0.25,0.0
191,Matisse Thybulle,24,PHI,9,0,15.2,1.2,2.7,0.458,0.4,1.6,0.286,0.8,1.1,0.7,0.542,0.1,0.3,0.333,0.2,0.8,1.0,0.4,0.8,0.8,0.2,1.7,3.0,2,6.6000000000000005,0.45454545454545453,0.1515151515151515,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.06060606060606061
192,Xavier Tillman Sr.,23,MEM,9,6,15.4,2.0,2.8,0.72,0.1,0.2,0.5,1.9,2.6,0.739,0.74,0.3,0.7,0.5,1.4,1.9,3.3,0.7,0.7,0.1,1.1,1.8,4.4,1,10.399999999999999,0.4230769230769232,0.31730769230769235,0.06730769230769232,0.06730769230769232,0.009615384615384618,0.1057692307692308,0.009615384615384618
